id	mode	chain_id	step	location	country	latitude	longitude	typology	tags	image_id	source_image_url	local_image_url	image_url	text	sentiment	source_row	order_hint
broken-148-image	broken	broken-148	image	Mesquite	US	32.7666103	-96.599472	window_photo	broken,image,window	1Qjgqc_hVnAmQbVD8ho41FtZEY7nm8EWc	https://lh3.googleusercontent.com/d/1Qjgqc_hVnAmQbVD8ho41FtZEY7nm8EWc=w2200	/images/1Qjgqc_hVnAmQbVD8ho41FtZEY7nm8EWc.jpg	/images/1Qjgqc_hVnAmQbVD8ho41FtZEY7nm8EWc.jpg			150	492
broken-148-text	broken	broken-148	text	Louisiana	US	30.8703881	-92.007126	water	broken,text,description,water					BEAUTIFUL DESIGN OF A OUTDOOR VIEW WITH SEATING AND FAN		150	493
windows-103	windows		image	Undefined	US	31.2638905	-98.5456116	window_photo	windows,image,photo	17DzxO75A8T0Gy5X4ecfhrGRD0TaHLA-G	https://lh3.googleusercontent.com/d/17DzxO75A8T0Gy5X4ecfhrGRD0TaHLA-G=w2200	/images/17DzxO75A8T0Gy5X4ecfhrGRD0TaHLA-G.jpg	/images/17DzxO75A8T0Gy5X4ecfhrGRD0TaHLA-G.jpg			151	494
broken-149-image	broken	broken-149	image	Undefined	US	31.2638905	-98.5456116	window_photo	broken,image,window	17DzxO75A8T0Gy5X4ecfhrGRD0TaHLA-G	https://lh3.googleusercontent.com/d/17DzxO75A8T0Gy5X4ecfhrGRD0TaHLA-G=w2200	/images/17DzxO75A8T0Gy5X4ecfhrGRD0TaHLA-G.jpg	/images/17DzxO75A8T0Gy5X4ecfhrGRD0TaHLA-G.jpg			151	495
broken-149-text	broken	broken-149	text	California	US	36.7014631	-118.755997	nature	broken,text,description,nature					its nature of scenery		151	496
broken-149-drawing	broken	broken-149	drawing	Curitiba				drawing_response	broken,image,drawing	1WX7epqXhsfleGemIkZCjN6xzYC7r_ODF	https://lh3.googleusercontent.com/d/1WX7epqXhsfleGemIkZCjN6xzYC7r_ODF=w2200	/images/1WX7epqXhsfleGemIkZCjN6xzYC7r_ODF.jpg	/images/1WX7epqXhsfleGemIkZCjN6xzYC7r_ODF.jpg			151	497
windows-104	windows		image	Eugene	US	44.0505054	-123.0950506	window_photo	windows,image,photo	1TYEPWiQHaqbvvFksgBpezZ4FIrSikB9_	https://lh3.googleusercontent.com/d/1TYEPWiQHaqbvvFksgBpezZ4FIrSikB9_=w2200	/images/1TYEPWiQHaqbvvFksgBpezZ4FIrSikB9_.jpg	/images/1TYEPWiQHaqbvvFksgBpezZ4FIrSikB9_.jpg			152	498
broken-150-image	broken	broken-150	image	Eugene	US	44.0505054	-123.0950506	window_photo	broken,image,window	1TYEPWiQHaqbvvFksgBpezZ4FIrSikB9_	https://lh3.googleusercontent.com/d/1TYEPWiQHaqbvvFksgBpezZ4FIrSikB9_=w2200	/images/1TYEPWiQHaqbvvFksgBpezZ4FIrSikB9_.jpg	/images/1TYEPWiQHaqbvvFksgBpezZ4FIrSikB9_.jpg			152	499
broken-150-text	broken	broken-150	text	Chennai	IN	13.0836939	80.270186	urban	broken,text,description,urban					i think this is small house in the village.		152	500
broken-150-drawing	broken	broken-150	drawing	athens				drawing_response	broken,image,drawing	1AblOAeR4_KkJnOn38Nytg-1iQQZUfIvr	https://lh3.googleusercontent.com/d/1AblOAeR4_KkJnOn38Nytg-1iQQZUfIvr=w2200	/images/1AblOAeR4_KkJnOn38Nytg-1iQQZUfIvr.jpg	/images/1AblOAeR4_KkJnOn38Nytg-1iQQZUfIvr.jpg			152	501
