"Informazioni cronologiche","Upload a photo of the view from your window","In which city do you live?","Insert your Worker ID"
"2022/06/17 12:01:43 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=10fQh7qRdBJds4Of6GFlGzZpUSrLu2DbO","Ciudad de mexico, Mexico","A1Y5CPW8HV29B1"
"2022/06/17 12:02:33 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1VkP7Vt7Z_gQqN3gZQqijiGtP1KafQ4FW","Morgantown","A2K0L9M1ZZO5C9"
"2022/06/17 12:09:03 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1fZ4k_jDzeA1d_A2XzMIX5h376wYB2ciD","Wilmington, Delaware, USA","A411ZZABHZUNA"
"2022/06/17 12:11:59 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=17DzxO75A8T0Gy5X4ecfhrGRD0TaHLA-G","texas","A1QVTUTEQJUK4G"
"2022/06/17 12:15:20 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1NQc10oV15AynlYKlnOrgbsmE8Kui0Z9S","Chennai ","A2GTJEKWOE25RB"
"2022/06/17 12:24:01 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1dbj8TYqJbVcbnm9NSMLhadVIAA3fBHYu","Burgaw","ADV9NWUNSG6WL"
"2022/06/17 12:34:54 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1tXwoih2fwWLdRmOlqbWaTnICoqf7Z4sd","CASTIGLIONE D'ADDA (LO), ITALY","A3C7MX0LWNX3DK"
"2022/06/17 12:41:06 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1Jd6kLvwXkXCO2BtRHuA5spBLYqbzPsJ0","PA","A23FNM26YGL56Q"
"2022/06/17 12:42:06 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1scx9948Or9DfGJTq0nzV1QHud94HeU1O","PA","A23FNM26YGL56Q"
"2022/06/17 12:45:24 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1o3x0yiOVJGHDQqnyGZ_k3vMR-j3QUcBH","Alexandria, VA","A1IFOJLTINJSJR"
"2022/06/17 12:51:10 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=169EsziZYkr9KYYLX8QEnnHpkISHoGHgW","Lakeland","AFP40K5BSAQAS"
"2022/06/17 12:52:16 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1NJhgtUwAwN3usYSej45iLHnM1Y86n1QZ","MADURAI","A2AMYX1J96G2JG"
"2022/06/17 12:55:25 AM EET","https://drive.google.com/u/0/open?usp=forms_web&id=1STG4e_bSZmXkRpi7-hk7WHWvTQb4GLVn","MADURAI","A2AMYX1J96G2JG"
